N     Sum up     Sum down
820      1.7125239       7.2871342
821      1.7180794       7.288352
822      1.7236661       7.2895684
823      1.729284       7.2907834
824      1.7349337       7.291997
825      1.7406156       7.2932091
826      1.7463299       7.2944198
827      1.752077       7.295629
828      1.7578573       7.2968369
829      1.7636713       7.2980433
830      1.7695192       7.2992482
831      1.7754016       7.3004518
832      1.7813188       7.3016539
833      1.7872711       7.3028545
834      1.7932591       7.3040538
835      1.7992833       7.3052516
836      1.8053439       7.306448
837      1.8114414       7.3076429
838      1.8175764       7.3088365
839      1.8237493       7.3100286
840      1.8299605       7.3112192
841      1.8362105       7.3124084
842      1.8424999       7.3135962
843      1.8488289       7.3147826
844      1.8551984       7.3159676
845      1.8616086       7.3171511
846      1.8680602       7.3183331
847      1.8745537       7.3195138
848      1.8810897       7.320693
849      1.8876686       7.3218708
850      1.8942912       7.3230472
851      1.9009578       7.3242221
852      1.9076692       7.3253956
853      1.914426       7.3265681
854      1.9212286       7.3277392
855      1.9280779       7.3289089
856      1.9349744       7.3300772
857      1.9419188       7.331244
858      1.9489119       7.3324094
859      1.9559542       7.3335733
860      1.9630464       7.3347363
861      1.9701893       7.3358979
862      1.9773836       7.3370581
863      1.98463       7.3382168
864      1.9919293       7.3393741
865      1.9992822       7.3405299
866      2.0066895       7.3416848
867      2.0141523       7.3428383
868      2.0216711       7.3439903
869      2.0292468       7.3451409
870      2.0368805       7.3462906
871      2.0445728       7.3474388
872      2.0523248       7.3485856
873      2.0601373       7.349731
874      2.0680113       7.3508749
875      2.0759478       7.3520179
876      2.0839477       7.3531594
877      2.0920122       7.3542995
878      2.1001422       7.3554387
879      2.1083391       7.3565764
880      2.1166036       7.3577127
881      2.1249371       7.3588476
882      2.1333404       7.3599815
883      2.1418149       7.361114
884      2.150362       7.3622451
885      2.1589828       7.3633752
886      2.1676784       7.3645039
887      2.1764503       7.3656311
888      2.1852999       7.3667574
889      2.1942284       7.3678823
890      2.2032375       7.3690057
891      2.2123284       7.3701282
892      2.2215028       7.3712492
893      2.230762       7.3723688
894      2.2401078       7.3734875
895      2.2495418       7.3746047
896      2.2590656       7.375721
897      2.268681       7.3768358
898      2.2783897       7.3779492
899      2.2881937       7.3790617
900      2.2980947       7.3801727
901      2.3080947       7.3812828
902      2.3181958       7.3823915
903      2.3283999       7.3834987
904      2.3387091       7.3846049
905      2.3491259       7.3857098
906      2.3596523       7.3868136
907      2.3702905       7.3879161
908      2.3810432       7.3890176
909      2.3919127       7.3901176
910      2.4029016       7.3912168
911      2.4140127       7.3923144
912      2.4252486       7.3934112
913      2.4366124       7.3945065
914      2.4481065       7.3956003
915      2.4597344       7.3966932
916      2.4714992       7.3977847
917      2.4834039       7.3988752
918      2.4954522       7.3999643
919      2.5076473       7.4010525
920      2.5199931       7.4021397
921      2.5324931       7.4032254
922      2.5451512       7.4043102
923      2.5579717       7.4053936
924      2.5709586       7.406476
925      2.5841165       7.407557
926      2.5974498       7.408637
927      2.6109633       7.4097157
928      2.6246619       7.4107933
929      2.6385508       7.4118695
930      2.6526353       7.4129448
931      2.6669211       7.4140191
932      2.6814139       7.415092
933      2.6961198       7.4161639
934      2.7110453       7.4172344
935      2.7261968       7.418304
936      2.7415814       7.4193726
937      2.7572064       7.4204397
938      2.7730794       7.4215059
939      2.7892084       7.4225707
940      2.8056018       7.4236345
941      2.8222685       7.4246974
942      2.8392177       7.4257588
943      2.8564591       7.4268193
944      2.8740029       7.4278789
945      2.89186       7.428937
946      2.9100418       7.4299941
947      2.9285603       7.4310503
948      2.9474282       7.4321051
949      2.9666591       7.4331589
950      2.9862669       7.4342117
951      3.0062668       7.4352632
952      3.026675       7.4363136
953      3.0475082       7.4373631
954      3.068785       7.4384112
955      3.0905242       7.4394584
956      3.1127465       7.4405046
957      3.1354737       7.4415493
958      3.1587296       7.4425931
959      3.182539       7.4436359
960      3.2069292       7.4446778
961      3.2319293       7.4457183
962      3.2575703       7.4467578
963      3.283886       7.4477963
964      3.3109131       7.4488335
965      3.3386908       7.4498696
966      3.3672621       7.4509048
967      3.3966739       7.4519391
968      3.4269769       7.4529719
969      3.4582269       7.4540038
970      3.490485       7.4550347
971      3.5238183       7.4560647
972      3.558301       7.4570937
973      3.5940154       7.4581213
974      3.6310525       7.4591479
975      3.6695139       7.4601736
976      3.7095139       7.4611983
977      3.7511806       7.4622221
978      3.7946589       7.4632444
979      3.8401134       7.4642658
980      3.8877325       7.4652863
981      3.9377325       7.4663057
982      3.9903641       7.4673243
983      4.0459194       7.4683414
984      4.104743       7.4693575
985      4.167243       7.4703727
986      4.2339096       7.4713869
987      4.3053384       7.4724002
988      4.3822613       7.4734125
989      4.4655948       7.4744234
990      4.5565038       7.4754333
991      4.6565037       7.4764423
992      4.7676148       7.4774504
993      4.8926148       7.4784575
994      5.0354719       7.4794636
995      5.2021384       7.4804688
996      5.4021382       7.481473
997      5.6521382       7.4824758
998      5.9854717       7.4834776
999      6.4854717       7.4844785
1000      7.4854717       7.4854784
